City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
398,Oistins,BB,77.09,75,13.0667,-59.5333,Butterfly Beach Hotel
399,Kavieng,PG,82.63,7,-2.5744,150.7967,Nusa Island Retreat
401,Marawi,PH,69.78,100,7.9986,124.2928,Derogongan Residence
405,Baghdad,IQ,84.11,0,33.3406,44.4009,Baghdad Hotel
406,Mattru,SL,91.11,93,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
407,Santona,ES,68.31,74,43.4439,-3.4576,Playamar
409,Imbituba,BR,76.86,99,-28.24,-48.6703,Praia Hotel Imbituba
410,Viedma,AR,65.73,100,-40.8135,-62.9967,Hotel Cristal
411,The Valley,AI,84.06,20,18.217,-63.0578,CeBlue Villas & Beach Resort
412,Pozo Colorado,PY,99.52,5,-23.4923,-58.7972,Hospedaje la Amistad
415,Portel,BR,80.69,95,-1.9356,-50.8211,Kitnet do Marcos
416,Sur,OM,87.85,25,22.5667,59.5289,Sur Plaza Hotel
417,Mabaruma,GY,81.84,99,8.2,-59.7833,Monty Brooms Guest House
418,Zhuhai,CN,82.18,40,22.2769,113.5678,珠海粤财假日酒店
420,Esna,EG,95.02,53,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
421,Nola,IT,70.16,0,40.922,14.5329,Palazzo Giordano Bruno
423,Progreso,MX,90.1,1,21.2833,-89.6667,Playa Linda Hotel
424,Guanare,VE,87.82,70,9.0418,-69.7421,Nuevo Hotel Coromoto
425,Catamarca,AR,90.59,18,-28.4696,-65.7852,Amerian Catamarca Park Hotel
427,Porto Torres,IT,69.98,1,40.835,8.3972,Hotel Elisa
428,Alagoinhas,BR,86.54,44,-12.1356,-38.4192,Alagoinhas Plaza Hotel
432,Kimbe,PG,76.21,72,-5.5502,150.1429,Kimbe Bay Hotel
433,Xucheng,CN,77.31,0,20.35,110.1288,Haixing Hotel
437,Amahai,ID,78.73,79,-3.3333,128.9167,HOTEL ISABELA
438,Sao Gabriel Da Cachoeira,BR,82.2,75,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
444,Guerrero Negro,MX,72.75,1,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
446,Chabahar,IR,83.52,2,25.2919,60.643,هتل گدروشیا
447,Hirado,JP,69.39,100,33.3597,129.5531,Samson Hotel
453,San Luis,AR,80.58,0,-33.295,-66.3356,Huarpes Hotel
454,Grand Gaube,MU,77.4,1,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
459,Rio Maior,PT,65.75,31,39.3373,-8.9391,Mar de Serra
460,San Cristobal,VE,77.18,81,7.7669,-72.225,Pirineos
463,Manado,ID,77.77,40,1.487,124.8455,Aryaduta Hotel
464,Kieta,PG,78.64,73,-6.2167,155.6333,Uruna Bay Retreat
465,Gigmoto,PH,80.2,46,13.7796,124.39,Cj's Travellers Inn
466,Itarema,BR,81.48,82,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
467,Toyooka,JP,66.79,100,35.5333,134.8333,O Hotel Toyooka
468,Bafq,IR,78.06,100,31.6128,55.4107,Alamdar Hotel
470,Luis Correia,BR,87.8,75,-2.8792,-41.6669,Hotel Amarração
